"","Date_time","Mean Temperature","Year","Season","SUMMER.STEELHEAD_Hatchery","SUMMER.STEELHEAD_Wild","SUMMER.STEELHEAD_RM","SUMMER.STEELHEAD_LM","SPRING.CHINOOK_Hachery","SPRING.CHINOOK_Wild","SPRING.CHINOOK_RM","SPRING.CHINOOK_LM","Sockeye_NoMark","Sockeye_RM","Sockeye_LM","Fall.Chinook","Bull.Trout","Rainbow.Trout","Total"
"107",2014-09-22,13.3,2014,"Fall",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13
"108",2014-09-24,13.2,2014,"Fall",6,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,11
"109",2014-09-26,13.3,2014,"Fall",12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16
"110",2014-09-29,13.3,2014,"Fall",19,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"111",2014-10-01,13.2,2014,"Fall",10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8,24
"112",2014-10-03,13.2,2014,"Fall",17,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,27
"113",2014-10-06,13.2,2014,"Fall",10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,20
"114",2014-10-08,13,2014,"Fall",24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,29
"115",2014-10-10,13,2014,"Fall",24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,33
"116",2014-10-13,12.9,2014,"Fall",34,1,1,1,NA,NA,NA,NA,NA,NA,NA,29,NA,10,76
"117",2014-10-15,12.9,2014,"Fall",19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,28
"118",2014-10-17,12.7,2014,"Fall",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,5,40
"119",2014-10-20,12.4,2014,"Fall",29,2,2,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,6,82
